manufacturer,name,category,subcategory,gwp_total,gwp_use_ratio,yearly_tec,lifetime,use_location,report_date,sources,sources_hash,gwp_error_ratio,gwp_manufacturing_ratio,weight,assembly_location,screen_size,server_type,hard_drive,memory,number_cpu,height,added_date,add_method,gwp_transport_ratio,,,,,,,,Annual Emission,Daily Emissions
Apple,iPad (10th generation) with 64GB,Workplace,Tablet,72,0.14,,3.5,WW,October 18 2022,https://www.apple.com/environment/pdf/products/ipad/iPad_PER_Oct2022.pdf,20bf8fd0d68499ec5b58598ed7ddac74,,0.78,,,,,64GB SSD,,,,18-10-2022,Apple Auto Parser,0.08,0.01,,,,,,iPad (10th generation) 64GB (72kgCO2eq) - iPad (10th generation) 265GB (82kgCO2eq) -,20.57142857,0.056360078
Apple,iPad (9th generation) Wi-Fi + Cellular with 64GB,Workplace,Tablet,75,0.14,,3.5,WW,September 14 2021,https://www.apple.com/environment/pdf/products/ipad/iPad_PER_Dec2022.pdf,92c4afce73104543fed2164bc347c3a1,,0.78,,,,,64GB SSD,,,,23-02-2023,Apple Auto Parser,0.07,0.01,,,,,,iPad (9th generation) 64GB (75kgCO2eq) - iPad (9th generation) 256GB (84kgCO2eq) -,21.42857143,0.058708415
Apple,iPad (9th generation) Wi-Fi + Cellular with 64GB,Workplace,Tablet,75,0.14,,3.5,WW,September 14 2021,https://www.apple.com/environment/pdf/products/ipad/iPad_PER_Sept2021.pdf,c9f7689ce2963537a2ef84f167e4bdf7,,0.78,,,,,64GB SSD,,,,18-10-2022,Apple Auto Parser,0.07,0.01,,,,,,iPad (9th generation) 64GB (75kgCO2eq) - iPad (9th generation) 128GB (78kgCO2eq) - iPad (9th generation) 256GB (84kgCO2eq) -,21.42857143,0.058708415
Apple,iPad Air (5th generation) with 64GB,Workplace,Tablet,80,0.14,,3.5,WW,March 18 2022,https://www.apple.com/environment/pdf/products/ipad/iPad_Air_PER_March2022.pdf,a78a79dbf36b32a39c8409c88deb418e,,0.79,,,,,64GB SSD,,,,18-10-2022,Apple Auto Parser,0.07,0.01,,,,,,iPad Air (5th generation)  64GB (80kgCO2eq) - iPad Air (5th generation)  128GB (84kgCO2eq) - iPad Air (5th generation)  265GB (92kgCO2eq) -,22.85714286,0.062622309
Apple,iPad mini (6th generation) with 64GB,Workplace,Tablet,68,0.12,,3.5,WW,September 14 2021,https://www.apple.com/environment/pdf/products/ipad/iPad_mini_PER_Sept2021.pdf,5a909435062303ebbba0fbe380bdbb0b,,0.83,,,,,64GB SSD,,,,18-10-2022,Apple Auto Parser,0.04,0.01,,,,,,iPad mini (6th generation) 64GB (68kgCO2eq) - iPad mini (6th generation) 128GB (71kgCO2eq) - iPad mini (6th generation) 256GB (77kgCO2eq) - iPad mini (6th generation) 512GB (90kgCO2eq) -,19.42857143,0.053228963
Apple,iPad Pro 11-inch (4th generation) with 128GB,Workplace,Tablet,100,0.12,,3.5,WW,October 18 2022,https://www.apple.com/environment/pdf/products/ipad/iPadPro_11-inch_PER_Oct2022.pdf,d67e72ecdf3414e460f8b387aef44f5e,,0.82,,,11,,128GB SSD,,,,18-10-2022,Apple Auto Parser,0.05,0.01,,,,,,iPad Pro 11-inch (4th generation) 128GB (107kgCO2eq) - iPad Pro 11-inch (4th generation) 265GB (121kgCO2eq) - iPad Pro 11-inch (4th generation) 512GB (121kgCO2eq) - iPad Pro 11-inch (4th generation) 1TB (148kgCO2eq) - iPad Pro 11-inch (4th generation) 2TB (249kgCO2eq) -,28.57142857,0.078277886
Apple,iPad Pro 12,Workplace,Tablet,135,0.1,,3.5,WW,October 18 2022,https://www.apple.com/environment/pdf/products/ipad/iPadPro_12.9-inch_PER_Oct2022.pdf,e1b5d393c56b685e8a5e78c8fc4b1623,,0.85,,,12.9,,,,,,18-10-2022,Apple Auto Parser,0.05,0.01,,,,,,iPad Pro 12.9-inch (6th generation) 128GB (135kgCO2eq) - iPad Pro 12.9-inch (6th generation) 265GB (142kgCO2eq) - iPad Pro 12.9-inch (6th generation) 512GB (156kgCO2eq) - iPad Pro 12.9-inch (6th generation) 1TB (183kgCO2eq) - iPad Pro 12.9-inch (6th generation) 2TB (284kgCO2eq) -,38.57142857,0.105675147
Apple,iPhone 11 128GB,Workplace,Smartphone,77,0.17,,3,WW,19-Sep,https://www.apple.com/environment/pdf/products/iphone/iPhone_11_PER_sept2019.pdf,2d8c8e33431918c5128b7dd6a7cdf2c2,0,0.79,,,6.1,,128GB,,,,20-01-2022,Manual,,,,,,,,,25.66666667,0.070319635
Apple,iPhone 11 256GB,Workplace,Smartphone,89,0.17,,3,WW,19-Sep,https://www.apple.com/environment/pdf/products/iphone/iPhone_11_PER_sept2019.pdf,2d8c8e33431918c5128b7dd6a7cdf2c2,0,0.79,,,6.1,,256GB,,,,20-01-2022,Manual,,,,,,,,,29.66666667,0.081278539
Apple,iPhone 11 64GB,Workplace,Smartphone,72,0.17,,3,WW,19-Sep,https://www.apple.com/environment/pdf/products/iphone/iPhone_11_PER_sept2019.pdf,2d8c8e33431918c5128b7dd6a7cdf2c2,0,0.79,,,6.1,,64GB,,,,20-01-2022,Manual,,,,,,,,,24,0.065753425
